,AQI,Temperature,Humidity,Wind,Pressure,City,State,Country
0,29,14,37,105,1015,Ashkasham,Badakhshan,Afghanistan
1,42,29,23,86,1005,BazareTashkan,Badakhshan,Afghanistan
2,42,22,26,52,1005,HafizMoghul,Badakhshan,Afghanistan
3,42,18,40,134,1013,KuranwaMunjan,Badakhshan,Afghanistan
4,42,31,21,85,1004,Mashhad,Badakhshan,Afghanistan
5,42,17,42,52,1010,PasPul,Badakhshan,Afghanistan
6,38,25,33,58,1007,March,Badakhshan,Afghanistan
7,38,33,28,55,1005,DehKhwahan,Badakhshan,Afghanistan
8,34,31,44,82,1010,QalahyeKuf,Badakhshan,Afghanistan
9,38,24,28,129,1009,Chakaran,Badakhshan,Afghanistan
10,25,18,27,89,1011,Khandud,Badakhshan,Afghanistan
11,42,23,53,52,1013,Nusay,Badakhshan,Afghanistan
12,42,20,29,71,1007,Shahran,Badakhshan,Afghanistan
13,38,24,28,96,1010,GhuraydGharame,Badakhshan,Afghanistan
14,42,24,30,15,1008,Fayzabad,Badakhshan,Afghanistan
15,38,26,27,105,1007,Baharak,Badakhshan,Afghanistan
16,38,21,54,58,1013,Maymay,Badakhshan,Afghanistan
17,42,26,27,111,1008,Jurm,Badakhshan,Afghanistan
18,42,25,26,89,1007,Darayim,Badakhshan,Afghanistan
19,38,18,40,43,1009,Ziraki,Badakhshan,Afghanistan
20,66,31,15,193,1004,Qadis,Badghis,Afghanistan
21,66,36,12,235,1001,QalaiNaw,Badghis,Afghanistan
22,29,17,36,15,1015,Zaybak,Badakhshan,Afghanistan
23,78,32,13,138,1000,Chowney,Daykundi,Afghanistan
24,64,37,12,26,1000,AbeKamari,Badghis,Afghanistan
25,64,38,11,197,1000,Ghormach,Badghis,Afghanistan
26,51,21,26,152,1007,Khadir,Daykundi,Afghanistan
27,64,28,22,93,1004,SareTayghan,Daykundi,Afghanistan
28,59,33,17,221,1003,Jawand,Badghis,Afghanistan
29,51,24,18,103,1005,Quchanghi,Daykundi,Afghanistan
30,76,39,11,268,1000,BalaMurghab,Badghis,Afghanistan
31,55,27,16,93,1003,Nili,Daykundi,Afghanistan
32,59,36,12,124,1000,Fayzabad,Faryab,Afghanistan
33,62,40,9,71,998,Andkhoy,Faryab,Afghanistan
34,62,36,12,77,998,QaramQol,Faryab,Afghanistan
35,59,29,18,82,1004,BalChiragh,Faryab,Afghanistan
36,62,36,12,33,998,Qurghan,Faryab,Afghanistan
37,68,38,12,316,1000,SangAtesh,Badghis,Afghanistan
38,59,30,17,101,1004,SangalakiKaisar,Faryab,Afghanistan
39,57,26,21,88,1005,SarChakan,Faryab,Afghanistan
40,59,34,14,99,1002,AlaqahdariyeAlmar,Faryab,Afghanistan
41,64,40,9,52,998,ChaharBagh,Faryab,Afghanistan
42,59,36,12,104,999,Dowlatabad,Faryab,Afghanistan
43,70,29,19,89,1002,Kajran,Daykundi,Afghanistan
44,57,22,26,127,1007,Lash,Faryab,Afghanistan
45,59,35,12,118,1001,Maymana,Faryab,Afghanistan
46,57,24,21,382,1004,FayrozKoh,Ghowr,Afghanistan
47,46,16,29,08,1008,Lal,Ghowr,Afghanistan
48,62,20,24,279,1007,DuLainah,Ghowr,Afghanistan
49,51,20,27,189,1007,Dowlatyar,Ghowr,Afghanistan
50,97,37,9,158,994,MarkazeHukumateDarweshan,Helmand,Afghanistan
51,64,22,23,179,1007,Tulak,Ghowr,Afghanistan
52,64,23,23,51,1005,Taywarah,Ghowr,Afghanistan
53,85,36,8,152,996,Sangin,Helmand,Afghanistan
54,62,20,26,41,1007,Pasaband,Ghowr,Afghanistan
55,64,26,18,252,1004,Titan,Ghowr,Afghanistan
56,85,37,8,128,995,HukumateNadAli,Helmand,Afghanistan
57,59,21,23,241,1008,Shahrak,Ghowr,Afghanistan
58,110,41,8,197,994,AlaqahdariDishu,Helmand,Afghanistan
59,85,39,7,153,995,Gereshk,Helmand,Afghanistan
60,110,37,10,173,995,KhanNeshin,Helmand,Afghanistan
61,70,38,11,135,998,Khanaqah,Jowzjan,Afghanistan
62,85,40,7,142,994,LashkarGah,Helmand,Afghanistan
63,78,38,7,131,996,MusaQalah,Helmand,Afghanistan
64,78,34,8,143,998,NowZad,Helmand,Afghanistan
65,83,35,8,16,997,Washer,Helmand,Afghanistan
66,68,37,11,104,998,KhwajahDuKoh,Jowzjan,Afghanistan
67,8,27,15,204,1011,KhawajaRawashQabelBay,Kabul,Afghanistan
68,68,38,11,149,997,Mingajik,Jowzjan,Afghanistan
69,70,41,9,129,997,Aqchah,Jowzjan,Afghanistan
70,64,38,10,152,997,Qarqin,Jowzjan,Afghanistan
71,68,40,9,124,998,Shibirghan,Jowzjan,Afghanistan
72,62,36,11,92,998,Khamyab,Jowzjan,Afghanistan
73,17,27,15,204,1011,WazirAkbarKhan,Kabul,Afghanistan
74,68,38,11,141,997,Mardian,Jowzjan,Afghanistan
75,51,31,23,76,1004,AlahSay,Kapisa,Afghanistan
76,78,27,15,204,1011,USEmbassyinKabul,Kabul,Afghanistan
77,59,28,19,77,1004,Darzab,Jowzjan,Afghanistan
78,51,29,15,143,1002,SherwaniyeBala,Kapisa,Afghanistan
79,51,29,20,151,1005,HajiKhel,Kapisa,Afghanistan
80,97,28,15,204,1011,UNOCA,Kabul,Afghanistan
81,103,29,32,96,1002,ShaykhAmirKelay,Khowst,Afghanistan
82,124,27,15,204,1011,Kululapushta,Kabul,Afghanistan
83,70,40,9,107,997,Faizabad,Jowzjan,Afghanistan
84,51,32,21,71,1003,Tagab,Kapisa,Afghanistan
85,51,32,17,163,1002,Sidqabad,Kapisa,Afghanistan
86,89,25,37,167,1005,Zorkot,Khowst,Afghanistan
87,103,24,42,62,1006,Sperah,Khowst,Afghanistan
88,99,28,37,44,1002,AliSherAlaqahdari,Khowst,Afghanistan
89,103,25,41,57,1005,DwahManday,Khowst,Afghanistan
90,83,25,42,111,1005,Dangam,Kunar,Afghanistan
91,91,27,39,53,1002,Khulbisat,Khowst,Afghanistan
92,99,28,37,35,1003,Khost,Khowst,Afghanistan
93,78,33,26,73,1000,Narang,Kunar,Afghanistan
94,76,31,33,105,1002,Asadabad,Kunar,Afghanistan
95,76,31,31,48,1001,Nurgal,Kunar,Afghanistan
96,70,28,41,102,1004,Wutahpur,Kunar,Afghanistan
97,72,27,43,109,1005,Asmar,Kunar,Afghanistan
98,76,27,39,138,1004,Karbori,Kunar,Afghanistan
99,78,29,36,119,1002,SarKani,Kunar,Afghanistan
100,59,33,19,108,1002,Kanday,Kunar,Afghanistan
101,78,26,16,118,1003,Charkh,Logar,Afghanistan
102,70,29,13,209,1001,BarakiBarak,Logar,Afghanistan
103,57,23,50,8,1007,Naray,Kunar,Afghanistan
104,78,31,32,83,1002,Tsowkey,Kunar,Afghanistan
105,55,28,31,32,1003,WuluswaliAlingar,Laghman,Afghanistan
106,70,26,46,63,1006,Manogay,Kunar,Afghanistan
107,53,24,33,57,1006,DowlatShah,Laghman,Afghanistan
108,68,27,14,242,1002,Khoshi,Logar,Afghanistan
109,66,34,21,157,998,Qarghahi,Laghman,Afghanistan
110,57,33,22,103,999,MehtarLam,Laghman,Afghanistan
111,70,29,12,25,1000,PuleAlam,Logar,Afghanistan
112,57,26,25,52,1005,HukumatiAzrah,Logar,Afghanistan
113,64,30,13,123,1001,MuhammadAghahWuluswali,Logar,Afghanistan
114,68,32,28,59,1000,Sheywah,Nangarhar,Afghanistan
115,83,32,27,78,999,Goshtah,Nangarhar,Afghanistan
116,91,34,27,77,999,Basawul,Nangarhar,Afghanistan
117,91,28,32,45,1001,Kai,Nangarhar,Afghanistan
118,76,32,26,73,998,SangarSaray,Nangarhar,Afghanistan
119,91,28,32,45,1001,MarkazeWoluswaliyeAchin,Nangarhar,Afghanistan
120,78,27,35,75,1002,PachirwaAgam,Nangarhar,Afghanistan
121,72,31,28,58,1000,Jalalabad,Nangarhar,Afghanistan
122,85,25,40,46,1003,Kotowal,Nangarhar,Afghanistan
123,64,32,26,98,1001,QalahyeShahi,Nangarhar,Afghanistan
124,72,29,29,89,999,Khafizan,Nangarhar,Afghanistan
125,72,27,31,84,1001,Kazhah,Nangarhar,Afghanistan
126,64,26,32,87,1003,MamaKhel,Nangarhar,Afghanistan
127,72,31,27,69,999,SultanpureUlya,Nangarhar,Afghanistan
128,127,41,9,11,994,Rudbar,Nimroz,Afghanistan
129,122,40,8,143,994,Mirabad,Nimroz,Afghanistan
130,80,43,6,116,993,Zaranj,Nimroz,Afghanistan
131,46,18,61,22,1012,BargeMatal,Nuristan,Afghanistan
132,46,16,52,62,1013,Parun,Nuristan,Afghanistan
133,46,23,29,27,1009,Mandol,Nuristan,Afghanistan
134,91,39,7,14,994,Khash,Nimroz,Afghanistan
135,99,24,14,96,1004,Uruzgan,Oruzgan,Afghanistan
136,78,24,25,1,1004,Gardez,Paktia,Afghanistan
137,78,23,30,15,1005,SalamKhel,Paktia,Afghanistan
138,68,21,50,73,1008,AliKhel,Paktia,Afghanistan
139,78,35,8,22,998,Tarinkot,Oruzgan,Afghanistan
140,170,24,32,156,1003,AlaqahdariYosufKhel,Paktika,Afghanistan
141,78,25,43,129,1006,Tsamkani,Paktia,Afghanistan
142,78,23,50,42,1006,Tsaperai,Paktia,Afghanistan
143,99,27,17,66,1002,Zurmat,Paktia,Afghanistan
144,170,23,36,287,1003,KhayrKot,Paktika,Afghanistan
145,170,20,43,68,1006,AlaqahdariSarobi,Paktika,Afghanistan
146,168,25,31,276,1002,Khoshamand,Paktika,Afghanistan
147,170,24,36,316,1003,JaniKhel,Paktika,Afghanistan
148,89,21,46,51,1005,MaidanKhulah,Paktia,Afghanistan
149,172,20,39,152,1005,Omnah,Paktika,Afghanistan
150,76,21,38,91,1006,WuleswaliSayyidKaram,Paktia,Afghanistan
151,170,24,36,289,1003,ZarghunShahr,Paktika,Afghanistan
152,170,23,37,20,1004,YahyaKhel,Paktika,Afghanistan
153,158,25,24,86,1002,Sharan,Paktika,Afghanistan
154,173,27,30,348,1003,GomalKelay,Paktika,Afghanistan
155,110,20,46,63,1007,ZerokAlakadari,Paktika,Afghanistan
156,153,20,46,49,1006,Urgun,Paktika,Afghanistan
157,89,20,43,102,1007,Shwak,Paktia,Afghanistan
158,158,25,25,95,1003,MutaKhan,Paktika,Afghanistan
159,51,30,17,64,1002,Dandar,Parwan,Afghanistan
160,158,25,28,103,1003,ZarahSharan,Paktika,Afghanistan
161,46,20,25,143,1009,Kiraman,Panjshir,Afghanistan
162,139,21,45,37,1006,SterGiyan,Paktika,Afghanistan
163,51,30,14,185,1001,Charikar,Parwan,Afghanistan
164,53,21,25,95,1009,DahaneJarf,Parwan,Afghanistan
165,110,19,46,74,1007,Nikeh,Paktika,Afghanistan
166,51,31,17,193,1003,JabalosSaraj,Parwan,Afghanistan
167,51,26,21,168,1007,Unabah,Panjshir,Afghanistan
168,53,31,13,181,1000,GhulamAli,Parwan,Afghanistan
169,53,29,20,131,1006,Siyahgird,Parwan,Afghanistan
170,34,18,33,132,1012,NowDahanak,Panjshir,Afghanistan
171,51,24,24,138,1008,Bazarak,Panjshir,Afghanistan
172,51,31,15,229,1004,Langar,Samangan,Afghanistan
173,57,36,12,194,1002,Sayad,SarePol,Afghanistan
174,57,31,17,94,1002,SozmahQalah,SarePol,Afghanistan
175,51,22,26,225,1009,BagheMaidan,Parwan,Afghanistan
176,51,31,15,188,1001,IbrahimKhan,Parwan,Afghanistan
177,51,29,21,153,1006,Qashqal,Parwan,Afghanistan
178,42,23,26,138,1010,Khinj,Panjshir,Afghanistan
179,51,33,16,112,1002,Aibak,Samangan,Afghanistan
180,53,25,24,72,1006,Dehi,Samangan,Afghanistan
181,64,37,12,131,1000,SarePul,SarePol,Afghanistan
182,51,21,28,154,1009,Duab,Samangan,Afghanistan
183,51,22,28,106,1009,Pasnay,SarePol,Afghanistan
184,46,16,36,135,1012,Chiras,SarePol,Afghanistan
185,42,33,17,93,1001,ChahAb,Takhar,Afghanistan
186,51,20,31,13,1010,QalahyeShahr,SarePol,Afghanistan
187,46,29,20,203,1006,TagawBay,SarePol,Afghanistan
188,53,28,20,79,1004,Tukzar,SarePol,Afghanistan
189,51,34,16,82,1001,Taloqan,Takhar,Afghanistan
190,46,35,17,69,999,YangiQalah,Takhar,Afghanistan
191,53,34,16,92,999,Darqad,Takhar,Afghanistan
192,42,26,21,45,1003,Rustaq,Takhar,Afghanistan
193,53,33,16,62,999,KhwajahGhar,Takhar,Afghanistan
194,53,41,10,136,999,DashteQalah,Takhar,Afghanistan
195,53,25,25,75,1007,SangeCharak,SarePol,Afghanistan
196,51,30,19,5,1001,Afaki,Takhar,Afghanistan
197,59,26,29,36,1009,Jalrez,Vardak,Afghanistan
198,53,33,16,67,999,ArtKhwajah,Takhar,Afghanistan
199,42,23,25,39,1004,Kalafgan,Takhar,Afghanistan
200,46,27,23,42,1004,TaqchahKhanah,Takhar,Afghanistan
201,38,30,23,93,1006,Farkhar,Takhar,Afghanistan
202,66,22,23,3,1007,Miran,Vardak,Afghanistan
203,87,22,20,112,1005,KalanDeh,Vardak,Afghanistan
204,122,28,9,183,1001,AlaqahdariShahJoy,Zabul,Afghanistan
205,117,29,10,123,1002,Sayagaz,Zabul,Afghanistan
206,46,25,29,119,1010,Larkird,SarePol,Afghanistan
207,120,21,13,106,1005,Khakiran,Zabul,Afghanistan
208,51,25,22,46,1003,Khanaqah,Takhar,Afghanistan
209,25,23,46,111,1016,Lemland,Alandslandsbygd,AlandIslands
210,70,25,17,121,1003,MarkazeSayyidabad,Vardak,Afghanistan
211,62,19,23,91,1007,WuleswaliBihsud,Vardak,Afghanistan
212,85,29,9,136,1001,AlaqahdariAtghar,Zabul,Afghanistan
213,112,25,11,105,1002,Nayak,Zabul,Afghanistan
214,85,27,10,136,1002,HukumateShinkai,Zabul,Afghanistan
215,85,33,7,208,999,Qalat,Zabul,Afghanistan
216,59,27,18,116,1004,Maydanshakhr,Vardak,Afghanistan
217,85,36,6,149,997,ShahreSafa,Zabul,Afghanistan
218,87,31,8,94,999,MizanAlaqahdari,Zabul,Afghanistan
219,25,23,46,111,1016,Lumparland,Alandslandsbygd,AlandIslands
220,21,23,46,111,1016,Sund,Alandslandsbygd,AlandIslands
221,21,23,46,74,1015,Eckeroe,Alandslandsbygd,AlandIslands
222,25,23,74,44,1016,Sottunga,Alandsskaergard,AlandIslands
223,21,23,46,111,1016,Finstroem,Alandslandsbygd,AlandIslands
224,21,23,46,111,1016,Hammarland,Alandslandsbygd,AlandIslands
225,21,23,68,77,1016,Geta,Alandslandsbygd,AlandIslands
226,21,23,46,111,1016,Jomala,Alandslandsbygd,AlandIslands
227,21,23,46,111,1016,Saltvik,Alandslandsbygd,AlandIslands
228,29,23,74,24,1016,Koekar,Alandsskaergard,AlandIslands
229,25,23,68,68,1016,Vardoe,Alandsskaergard,AlandIslands
230,25,28,77,104,1016,Braendoe,Alandsskaergard,AlandIslands
231,25,23,72,6,1016,Kumlinge,Alandsskaergard,AlandIslands
232,21,22,40,94,1013,XiberMurrize,Diber,Albania
233,25,24,75,42,1016,Foegloe,Alandsskaergard,AlandIslands
234,21,27,47,114,1013,Klos,Diber,Albania
235,21,27,44,125,1013,Baz,Diber,Albania
236,21,26,44,108,1013,Rukaj,Diber,Albania
237,21,27,43,12,1013,Burrel,Diber,Albania
238,21,26,45,102,1013,Derjan,Diber,Albania
239,21,26,43,136,1013,GurraeVogel,Diber,Albania
240,25,20,49,62,1014,FusheLure,Diber,Albania
241,25,24,53,85,1013,Bulqize,Diber,Albania
242,25,23,50,82,1013,Martanesh,Diber,Albania
243,21,26,37,81,1013,Kombesi,Diber,Albania
244,21,24,42,72,1013,Lis,Diber,Albania
245,21,26,41,8,1013,Suc,Diber,Albania
246,25,25,51,84,1013,Shupenze,Diber,Albania
247,25,24,54,83,1013,FusheBulqize,Diber,Albania
248,25,21,44,63,1013,Macukull,Diber,Albania
249,21,28,43,114,1013,Ulez,Diber,Albania
250,25,25,51,85,1013,GjoricaeSiperme,Diber,Albania
251,25,23,53,8,1014,Selishte,Diber,Albania
252,29,26,52,78,1014,FusheCidhne,Diber,Albania
253,25,23,52,85,1014,Melan,Diber,Albania
254,25,21,48,116,1014,OstreniiMath,Diber,Albania
255,29,24,57,81,1015,Kastriot,Diber,Albania
256,25,23,54,64,1013,TrebishtMucine,Diber,Albania
257,29,26,53,78,1014,Arras,Diber,Albania
258,25,23,49,113,1014,Zerqan,Diber,Albania
259,25,24,51,86,1013,Maqellare,Diber,Albania
260,29,25,53,72,1014,ZallDardhe,Diber,Albania
261,33,27,44,185,1013,Dhjetori,Tirana,Albania
262,29,25,55,8,1014,FusheMuhurr,Diber,Albania
263,29,24,52,84,1014,Peshkopi,Diber,Albania
264,29,21,51,77,1014,Sllove,Diber,Albania
265,29,24,52,83,1014,Tomin,Diber,Albania
266,25,24,48,77,1014,ZallRec,Diber,Albania
267,99,30,33,167,1015,USEmbassyinAlgiers,Algiers,Algeria
268,64,32,24,135,1014,DraaBenKhedda,Boumerdes,Algeria
269,17,27,44,185,1013,BoikenDevelopment,Tirana,Albania
270,64,32,41,116,1015,Thenia,Boumerdes,Algeria
271,64,32,24,139,1014,Tadmait,Boumerdes,Algeria
272,68,32,51,99,1015,Boumerdas,Boumerdes,Algeria
273,68,32,37,148,1015,Reghaia,Boumerdes,Algeria
274,68,32,62,52,1015,Dellys,Boumerdes,Algeria
275,59,32,30,12,1014,Makouda,Boumerdes,Algeria
276,64,31,23,145,1014,Naciria,Boumerdes,Algeria
277,59,28,61,148,1017,OuledMoussa,Boumerdes,Algeria
278,59,32,31,148,1015,Arbatache,Boumerdes,Algeria
279,59,32,31,148,1015,KhemiselKhechna,Boumerdes,Algeria
280,68,33,31,148,1015,Boudouaou,Boumerdes,Algeria
281,57,31,26,16,1014,ChabetelAmeur,Boumerdes,Algeria
282,57,32,34,131,1015,BeniAmrane,Boumerdes,Algeria
283,57,32,30,141,1014,Isser,Boumerdes,Algeria
284,70,32,40,121,1015,OuedelAlleug,Tipaza,Algeria
285,57,30,22,181,1014,TiziGheniff,Boumerdes,Algeria
286,74,31,52,83,1015,Cheraga,Tipaza,Algeria
287,68,31,45,107,1015,Douera,Tipaza,Algeria
288,74,33,58,72,1015,AinBenian,Tipaza,Algeria
289,68,32,31,148,1015,Saoula,Tipaza,Algeria
290,57,32,31,134,1015,ElAffroun,Tipaza,Algeria
291,70,32,57,9,1015,BouIsmail,Tipaza,Algeria
292,70,32,59,86,1015,Zeralda,Tipaza,Algeria
293,70,32,49,98,1015,Tipasa,Tipaza,Algeria
294,64,31,37,148,1015,Baraki,Tipaza,Algeria
295,147,26,11,91,1013,Catabola,Bie,Angola
296,147,25,11,89,1013,Chissamba,Bie,Angola
297,57,28,31,118,1016,Mouzaia,Tipaza,Algeria
298,87,27,10,138,1013,Menongue,CuandoCobango,Angola
