,AQI,Temperature,Humidity,Wind,Pressure,City,State,Country,Forest_percentage,AQI_categotial,Population,Motor_vehicles_per_1k,AQI_under_150
0,29.0,14.0,37.0,105.0,1015.0,Ashkasham,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
1,42.0,29.0,23.0,86.0,1005.0,BazareTashkan,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
2,42.0,22.0,26.0,52.0,1005.0,HafizMoghul,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
3,42.0,18.0,40.0,134.0,1013.0,KuranwaMunjan,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
4,42.0,31.0,21.0,85.0,1004.0,Mashhad,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
5,42.0,17.0,42.0,52.0,1010.0,PasPul,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
6,38.0,25.0,33.0,58.0,1007.0,March,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
7,38.0,33.0,28.0,55.0,1005.0,DehKhwahan,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
8,34.0,31.0,44.0,82.0,1010.0,QalahyeKuf,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
9,38.0,24.0,28.0,129.0,1009.0,Chakaran,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
10,25.0,18.0,27.0,89.0,1011.0,Khandud,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
11,42.0,23.0,53.0,52.0,1013.0,Nusay,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
12,42.0,20.0,29.0,71.0,1007.0,Shahran,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
13,38.0,24.0,28.0,96.0,1010.0,GhuraydGharame,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
14,42.0,24.0,30.0,15.0,1008.0,Fayzabad,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
15,38.0,26.0,27.0,105.0,1007.0,Baharak,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
16,38.0,21.0,54.0,58.0,1013.0,Maymay,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
17,42.0,26.0,27.0,111.0,1008.0,Jurm,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
18,42.0,25.0,26.0,89.0,1007.0,Darayim,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
19,38.0,18.0,40.0,43.0,1009.0,Ziraki,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
20,66.0,31.0,15.0,193.0,1004.0,Qadis,Badghis,Afghanistan,0.25,2.0,38041754.0,47.0,True
22,29.0,17.0,36.0,15.0,1015.0,Zaybak,Badakhshan,Afghanistan,0.25,1.0,38041754.0,47.0,True
26,51.0,21.0,26.0,152.0,1007.0,Khadir,Daykundi,Afghanistan,0.25,2.0,38041754.0,47.0,True
27,64.0,28.0,22.0,93.0,1004.0,SareTayghan,Daykundi,Afghanistan,0.25,2.0,38041754.0,47.0,True
28,59.0,33.0,17.0,221.0,1003.0,Jawand,Badghis,Afghanistan,0.25,2.0,38041754.0,47.0,True
29,51.0,24.0,18.0,103.0,1005.0,Quchanghi,Daykundi,Afghanistan,0.25,2.0,38041754.0,47.0,True
31,55.0,27.0,16.0,93.0,1003.0,Nili,Daykundi,Afghanistan,0.25,2.0,38041754.0,47.0,True
35,59.0,29.0,18.0,82.0,1004.0,BalChiragh,Faryab,Afghanistan,0.25,2.0,38041754.0,47.0,True
38,59.0,30.0,17.0,101.0,1004.0,SangalakiKaisar,Faryab,Afghanistan,0.25,2.0,38041754.0,47.0,True
39,57.0,26.0,21.0,88.0,1005.0,SarChakan,Faryab,Afghanistan,0.25,2.0,38041754.0,47.0,True
40,59.0,34.0,14.0,99.0,1002.0,AlaqahdariyeAlmar,Faryab,Afghanistan,0.25,2.0,38041754.0,47.0,True
43,70.0,29.0,19.0,89.0,1002.0,Kajran,Daykundi,Afghanistan,0.25,2.0,38041754.0,47.0,True
44,57.0,22.0,26.0,127.0,1007.0,Lash,Faryab,Afghanistan,0.25,2.0,38041754.0,47.0,True
45,59.0,35.0,12.0,118.0,1001.0,Maymana,Faryab,Afghanistan,0.25,2.0,38041754.0,47.0,True
47,46.0,16.0,29.0,8.0,1008.0,Lal,Ghowr,Afghanistan,0.25,1.0,38041754.0,47.0,True
49,51.0,20.0,27.0,189.0,1007.0,Dowlatyar,Ghowr,Afghanistan,0.25,2.0,38041754.0,47.0,True
51,64.0,22.0,23.0,179.0,1007.0,Tulak,Ghowr,Afghanistan,0.25,2.0,38041754.0,47.0,True
52,64.0,23.0,23.0,51.0,1005.0,Taywarah,Ghowr,Afghanistan,0.25,2.0,38041754.0,47.0,True
54,62.0,20.0,26.0,41.0,1007.0,Pasaband,Ghowr,Afghanistan,0.25,2.0,38041754.0,47.0,True
55,64.0,26.0,18.0,252.0,1004.0,Titan,Ghowr,Afghanistan,0.25,2.0,38041754.0,47.0,True
57,59.0,21.0,23.0,241.0,1008.0,Shahrak,Ghowr,Afghanistan,0.25,2.0,38041754.0,47.0,True
67,8.0,27.0,15.0,204.0,1011.0,KhawajaRawashQabelBay,Kabul,Afghanistan,0.25,1.0,38041754.0,47.0,True
73,17.0,27.0,15.0,204.0,1011.0,WazirAkbarKhan,Kabul,Afghanistan,0.25,1.0,38041754.0,47.0,True
75,51.0,31.0,23.0,76.0,1004.0,AlahSay,Kapisa,Afghanistan,0.25,2.0,38041754.0,47.0,True
76,78.0,27.0,15.0,204.0,1011.0,USEmbassyinKabul,Kabul,Afghanistan,0.25,2.0,38041754.0,47.0,True
77,59.0,28.0,19.0,77.0,1004.0,Darzab,Jowzjan,Afghanistan,0.25,2.0,38041754.0,47.0,True
78,51.0,29.0,15.0,143.0,1002.0,SherwaniyeBala,Kapisa,Afghanistan,0.25,2.0,38041754.0,47.0,True
79,51.0,29.0,20.0,151.0,1005.0,HajiKhel,Kapisa,Afghanistan,0.25,2.0,38041754.0,47.0,True
80,97.0,28.0,15.0,204.0,1011.0,UNOCA,Kabul,Afghanistan,0.25,2.0,38041754.0,47.0,True
81,103.0,29.0,32.0,96.0,1002.0,ShaykhAmirKelay,Khowst,Afghanistan,0.25,3.0,38041754.0,47.0,False
82,124.0,27.0,15.0,204.0,1011.0,Kululapushta,Kabul,Afghanistan,0.25,3.0,38041754.0,47.0,False
84,51.0,32.0,21.0,71.0,1003.0,Tagab,Kapisa,Afghanistan,0.25,2.0,38041754.0,47.0,True
