,Country,Link_to_Country
0,Afghanistan,https://www.iqair.com/afghanistan
1,Aland Islands,https://www.iqair.com/aland-islands
2,Albania,https://www.iqair.com/albania
3,Algeria,https://www.iqair.com/algeria
4,Andorra,https://www.iqair.com/andorra
5,Angola,https://www.iqair.com/angola
6,Antigua and Barbuda,https://www.iqair.com/antigua-and-barbuda
7,Argentina,https://www.iqair.com/argentina
8,Armenia,https://www.iqair.com/armenia
9,Australia,https://www.iqair.com/australia
10,Austria,https://www.iqair.com/austria
11,Azerbaijan,https://www.iqair.com/azerbaijan
12,Bahamas,https://www.iqair.com/bahamas
13,Bahrain,https://www.iqair.com/bahrain
14,Bangladesh,https://www.iqair.com/bangladesh
15,Barbados,https://www.iqair.com/barbados
16,Belarus,https://www.iqair.com/belarus
17,Belgium,https://www.iqair.com/belgium
18,Belize,https://www.iqair.com/belize
19,Benin,https://www.iqair.com/benin
20,Bhutan,https://www.iqair.com/bhutan
21,Bolivia,https://www.iqair.com/bolivia
22,"Bonaire, Saint Eustatius and Saba",https://www.iqair.com/bonaire-saint-eustatius-and-saba
23,Bosnia Herzegovina,https://www.iqair.com/bosnia-herzegovina
24,Botswana,https://www.iqair.com/botswana
25,Brazil,https://www.iqair.com/brazil
26,Brunei,https://www.iqair.com/brunei
27,Bulgaria,https://www.iqair.com/bulgaria
28,Burkina Faso,https://www.iqair.com/burkina-faso
29,Burundi,https://www.iqair.com/burundi
30,Cambodia,https://www.iqair.com/cambodia
31,Cameroon,https://www.iqair.com/cameroon
32,Canada,https://www.iqair.com/canada
33,Cape Verde,https://www.iqair.com/cape-verde
34,Central African Republic,https://www.iqair.com/central-african-republic
35,Chad,https://www.iqair.com/chad
36,Chile,https://www.iqair.com/chile
37,China,https://www.iqair.com/china
38,Colombia,https://www.iqair.com/colombia
39,Comoros,https://www.iqair.com/comoros
40,Costa Rica,https://www.iqair.com/costa-rica
41,Croatia,https://www.iqair.com/croatia
42,Cuba,https://www.iqair.com/cuba
43,Curacao,https://www.iqair.com/curacao
44,Cyprus,https://www.iqair.com/cyprus
45,Czech Republic,https://www.iqair.com/czech-republic
46,Democratic Republic of the Congo,https://www.iqair.com/democratic-republic-of-the-congo
47,Denmark,https://www.iqair.com/denmark
48,Djibouti,https://www.iqair.com/djibouti
49,Dominica,https://www.iqair.com/dominica
50,Dominican Republic,https://www.iqair.com/dominican-republic
51,Ecuador,https://www.iqair.com/ecuador
52,Egypt,https://www.iqair.com/egypt
53,El Salvador,https://www.iqair.com/el-salvador
54,Equatorial Guinea,https://www.iqair.com/equatorial-guinea
55,Eritrea,https://www.iqair.com/eritrea
56,Estonia,https://www.iqair.com/estonia
57,Ethiopia,https://www.iqair.com/ethiopia
58,Faroe Islands,https://www.iqair.com/faroe-islands
59,Fiji,https://www.iqair.com/fiji
60,Finland,https://www.iqair.com/finland
61,France,https://www.iqair.com/france
62,French Polynesia,https://www.iqair.com/french-polynesia
63,Gabon,https://www.iqair.com/gabon
64,Gambia,https://www.iqair.com/gambia
65,Georgia,https://www.iqair.com/georgia
66,Germany,https://www.iqair.com/germany
67,Ghana,https://www.iqair.com/ghana
68,Greece,https://www.iqair.com/greece
69,Greenland,https://www.iqair.com/greenland
70,Grenada,https://www.iqair.com/grenada
71,Guatemala,https://www.iqair.com/guatemala
72,Guernsey,https://www.iqair.com/guernsey
73,Guinea,https://www.iqair.com/guinea
74,Guinea-Bissau,https://www.iqair.com/guinea-bissau
75,Guyana,https://www.iqair.com/guyana
76,Haiti,https://www.iqair.com/haiti
77,Honduras,https://www.iqair.com/honduras
78,Hong Kong SAR,https://www.iqair.com/hong-kong
79,Hungary,https://www.iqair.com/hungary
80,Iceland,https://www.iqair.com/iceland
81,India,https://www.iqair.com/india
82,Indonesia,https://www.iqair.com/indonesia
83,Iran,https://www.iqair.com/iran
84,Iraq,https://www.iqair.com/iraq
85,Ireland,https://www.iqair.com/ireland
86,Isle of Man,https://www.iqair.com/isle-of-man
87,Israel,https://www.iqair.com/israel
88,Italy,https://www.iqair.com/italy
89,Ivory Coast,https://www.iqair.com/ivory-coast
90,Jamaica,https://www.iqair.com/jamaica
91,Japan,https://www.iqair.com/japan
92,Jersey,https://www.iqair.com/jersey
93,Jordan,https://www.iqair.com/jordan
94,Kazakhstan,https://www.iqair.com/kazakhstan
95,Kenya,https://www.iqair.com/kenya
96,Kosovo,https://www.iqair.com/kosovo
97,Kuwait,https://www.iqair.com/kuwait
98,Kyrgyzstan,https://www.iqair.com/kyrgyzstan
99,Laos,https://www.iqair.com/laos
100,Latvia,https://www.iqair.com/latvia
101,Lebanon,https://www.iqair.com/lebanon
102,Lesotho,https://www.iqair.com/lesotho
103,Liberia,https://www.iqair.com/liberia
104,Libya,https://www.iqair.com/libya
105,Liechtenstein,https://www.iqair.com/liechtenstein
106,Lithuania,https://www.iqair.com/lithuania
107,Luxembourg,https://www.iqair.com/luxembourg
108,Macao SAR,https://www.iqair.com/macao
