,District,link_to_district,Country
0,Badakhshan,https://www.iqair.com/afghanistan/badakhshan,Afghanistan
1,Badghis,https://www.iqair.com/afghanistan/badghis,Afghanistan
2,Baghlan,https://www.iqair.com/afghanistan/baghlan,Afghanistan
3,Balkh,https://www.iqair.com/afghanistan/balkh,Afghanistan
4,Bamyan,https://www.iqair.com/afghanistan/bamyan,Afghanistan
5,Daykundi,https://www.iqair.com/afghanistan/daykundi,Afghanistan
6,Farah,https://www.iqair.com/afghanistan/farah,Afghanistan
7,Faryab,https://www.iqair.com/afghanistan/faryab,Afghanistan
8,Ghazni,https://www.iqair.com/afghanistan/ghazni,Afghanistan
9,Ghowr,https://www.iqair.com/afghanistan/ghowr,Afghanistan
10,Helmand,https://www.iqair.com/afghanistan/helmand,Afghanistan
11,Herat,https://www.iqair.com/afghanistan/herat,Afghanistan
12,Jowzjan,https://www.iqair.com/afghanistan/jowzjan,Afghanistan
13,Kabul,https://www.iqair.com/afghanistan/kabul,Afghanistan
14,Kandahar,https://www.iqair.com/afghanistan/kandahar,Afghanistan
15,Kapisa,https://www.iqair.com/afghanistan/kapisa,Afghanistan
16,Khowst,https://www.iqair.com/afghanistan/khowst,Afghanistan
17,Kunar,https://www.iqair.com/afghanistan/kunar,Afghanistan
18,Kunduz,https://www.iqair.com/afghanistan/kunduz,Afghanistan
19,Laghman,https://www.iqair.com/afghanistan/laghman,Afghanistan
20,Logar,https://www.iqair.com/afghanistan/logar,Afghanistan
21,Nangarhar,https://www.iqair.com/afghanistan/nangarhar,Afghanistan
22,Nimroz,https://www.iqair.com/afghanistan/nimroz,Afghanistan
23,Nuristan,https://www.iqair.com/afghanistan/nuristan,Afghanistan
24,Oruzgan,https://www.iqair.com/afghanistan/oruzgan,Afghanistan
25,Paktia,https://www.iqair.com/afghanistan/paktia,Afghanistan
26,Paktika,https://www.iqair.com/afghanistan/paktika,Afghanistan
27,Panjshir,https://www.iqair.com/afghanistan/panjshir,Afghanistan
28,Parwan,https://www.iqair.com/afghanistan/parwan,Afghanistan
29,Samangan,https://www.iqair.com/afghanistan/samangan,Afghanistan
30,Sar-e Pol,https://www.iqair.com/afghanistan/sar-e-pol,Afghanistan
31,Takhar,https://www.iqair.com/afghanistan/takhar,Afghanistan
32,Vardak,https://www.iqair.com/afghanistan/vardak,Afghanistan
33,Zabul,https://www.iqair.com/afghanistan/zabul,Afghanistan
34,Alands landsbygd,https://www.iqair.com/aland-islands/alands-landsbygd,Aland Islands
35,Alands skaergard,https://www.iqair.com/aland-islands/alands-skaergard,Aland Islands
36,Mariehamns stad,https://www.iqair.com/aland-islands/mariehamns-stad,Aland Islands
37,Berat,https://www.iqair.com/albania/berat,Albania
38,Diber,https://www.iqair.com/albania/diber,Albania
39,Durres,https://www.iqair.com/albania/durres,Albania
40,Elbasan,https://www.iqair.com/albania/elbasan,Albania
41,Fier,https://www.iqair.com/albania/fier,Albania
42,Gjirokaster,https://www.iqair.com/albania/gjirokaster,Albania
43,Korce,https://www.iqair.com/albania/korce,Albania
44,Kukes,https://www.iqair.com/albania/kukes,Albania
45,Lezhe,https://www.iqair.com/albania/lezhe,Albania
46,Shkoder,https://www.iqair.com/albania/shkoder,Albania
47,Tirana,https://www.iqair.com/albania/tirana,Albania
48,Vlore,https://www.iqair.com/albania/vlore,Albania
49,Adrar,https://www.iqair.com/algeria/adrar,Algeria
50,Ain Defla,https://www.iqair.com/algeria/ain-defla,Algeria
51,Ain Temouchent,https://www.iqair.com/algeria/ain-temouchent,Algeria
52,Algiers,https://www.iqair.com/algeria/algiers,Algeria
53,Annaba,https://www.iqair.com/algeria/annaba,Algeria
54,Batna,https://www.iqair.com/algeria/batna,Algeria
55,Bechar,https://www.iqair.com/algeria/bechar,Algeria
56,Bejaia,https://www.iqair.com/algeria/bejaia,Algeria
57,Biskra,https://www.iqair.com/algeria/biskra,Algeria
58,Blida,https://www.iqair.com/algeria/blida,Algeria
59,Bordj Bou Arreridj,https://www.iqair.com/algeria/bordj-bou-arreridj,Algeria
